date,open,high,low,close,volume,dividend_amount,split_factor,DGS3MO,calendar_days_to_next,cash_return_to_next
2012-05-30,132.56,133.6924,131.49,131.76,162370400.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-05-31,131.71,132.45,130.34,131.47,196186200.0,0.0,1.0,0.07,1,1.917139136997648e-06
2012-06-01,129.41,131.5042,128.16,128.16,253245000.0,0.0,1.0,0.07,3,5.751428437505979e-06
2012-06-04,128.39,128.74,127.135,128.1,202548200.0,0.0,1.0,0.07,1,1.917139136997648e-06
2012-06-05,127.85,129.26,127.78,129.07,164149400.0,0.0,1.0,0.08,1,2.190906976951013e-06
2012-06-06,129.97,132.03,129.93,131.97,184202700.0,0.0,1.0,0.08,1,2.190906976951013e-06
2012-06-07,133.47,133.53,131.78,132.05,184772700.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-06-08,131.71,133.125,131.29,133.1,143915600.0,0.0,1.0,0.09,3,7.393960838042446e-06
2012-06-11,134.17,134.25,131.28,131.415,169756100.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-06-12,131.79,133.01,131.16,132.92,181931700.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-06-13,132.53,133.36,131.62,132.07,172223900.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-06-14,132.34,134.0,131.98,133.47,230616200.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-06-15,133.38,134.26,133.1,134.14,169444400.0,0.68826,1.0,0.11,3,9.03616775715932e-06
2012-06-18,133.58,134.73,133.28,134.4,131365400.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-06-19,135.08,136.25,134.3714,135.7,137382600.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-06-20,135.71,136.1,134.27,135.48,206466600.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-06-21,135.64,135.78,132.33,132.44,205272300.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-06-22,133.13,133.71,132.62,133.46,130029200.0,0.0,1.0,0.09,3,7.393960838042446e-06
2012-06-25,132.05,132.1,130.85,131.32,146375700.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-06-26,131.7,132.38,130.93,131.98,141633900.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-06-27,132.42,133.43,131.9667,133.173,108087900.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-06-28,132.29,132.99,131.28,132.79,169242700.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-06-29,135.2,136.27,134.85,136.105,212251100.0,0.0,1.0,0.09,3,7.393960838042446e-06
2012-07-02,136.48,136.65,135.52,136.51,129524400.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-07-03,136.48,137.51,136.34,137.412,80450200.0,0.0,1.0,0.1,2,5.476729151077109e-06
2012-07-05,136.9,137.8,136.29,136.79,126177400.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-07-06,135.47,135.77,134.85,135.49,151192000.0,0.0,1.0,0.08,3,6.572735330889756e-06
2012-07-09,135.38,135.57,134.7,135.32,103780400.0,0.0,1.0,0.08,1,2.190906976951013e-06
2012-07-10,136.01,136.23,133.68,134.14,167884800.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-07-11,134.21,134.6,133.38,134.16,141734000.0,0.0,1.0,0.09,1,2.4646475380585287e-06
