date,open,high,low,close,volume,dividend_amount,split_factor,DGS3MO,calendar_days_to_next,cash_return_to_next
2021-10-26,457.2,458.49,455.56,455.96,56075116,0.0,1.0,0.06,1,1.6433440133134525e-06
2021-10-27,456.45,457.16,453.86,453.94,72437997,0.0,1.0,0.06,1,1.6433440133134525e-06
2021-10-28,455.46,458.4,455.45,458.32,51437944,0.0,1.0,0.06,1,1.6433440133134525e-06
2021-10-29,455.87,459.56,455.56,459.25,70162424,0.0,1.0,0.06,3,4.930040141459813e-06
2021-11-01,460.3,460.7021,458.2,460.04,47474495,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-11-02,460.22,462.23,460.08,461.9,47840033,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-11-03,461.3,465.15,460.83,464.72,52509825,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-11-04,465.36,467.0,464.99,466.91,52847087,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-11-05,469.28,470.65,466.92,468.53,66390563,0.0,1.0,0.04,3,3.287019276099201e-06
2021-11-08,469.7,470.23,468.2031,468.93,50405194,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-11-09,469.32,469.57,465.88,467.38,50232447,0.0,1.0,0.06,1,1.6433440133134525e-06
2021-11-10,465.58,467.38,462.04,463.62,69429653,0.0,1.0,0.04,1,1.0956718916599328e-06
2021-11-11,465.21,465.29,463.75,463.77,34848495,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-11-12,465.12,467.86,464.11,467.27,51018081,0.0,1.0,0.05,3,4.108570426319957e-06
2021-11-15,468.64,468.81,466.23,467.43,46980500,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-11-16,467.15,470.485,467.07,469.28,48857502,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-11-17,469.0,469.19,467.48,468.14,47858289,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-11-18,469.24,470.01,466.34,469.73,50625607,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-11-19,469.61,470.94,468.5,468.89,57315573,0.0,1.0,0.05,3,4.108570426319957e-06
2021-11-22,470.89,473.54,467.35,467.57,72761954,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-11-23,467.22,469.095,464.45,468.19,73206538,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-11-24,466.06,469.57,465.19,469.44,61858813,0.0,1.0,0.06,2,3.286690726911345e-06
2021-11-26,462.34,463.9,457.77,458.97,112669636,0.0,1.0,0.06,3,4.930040141459813e-06
2021-11-29,464.07,466.56,461.73,464.6,86268818,0.0,1.0,0.06,1,1.6433440133134525e-06
2021-11-30,462.0,464.03,455.3,455.56,148559598,0.0,1.0,0.06,1,1.6433440133134525e-06
2021-12-01,461.64,464.67,450.29,450.5,132485835,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-12-02,450.73,459.07,450.31,457.4,127637758,0.0,1.0,0.06,1,1.6433440133134525e-06
2021-12-03,459.17,460.3,448.92,453.42,137331647,0.0,1.0,0.05,3,4.108570426319957e-06
2021-12-06,456.13,460.79,453.56,458.79,98977532,0.0,1.0,0.06,1,1.6433440133134525e-06
2021-12-07,464.41,468.88,458.6546,468.28,95484688,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-12-08,468.7,470.0,466.83,469.52,72238777,0.0,1.0,0.06,1,1.6433440133134525e-06
2021-12-09,468.15,469.6291,466.14,466.35,61272568,0.0,1.0,0.07,1,1.917139136997648e-06
2021-12-10,469.23,470.9,466.51,470.74,77159757,0.0,1.0,0.06,3,4.930040141459813e-06
2021-12-13,470.19,470.56,466.27,466.57,87724680,0.0,1.0,0.06,1,1.6433440133134525e-06
2021-12-14,463.09,465.74,460.25,463.36,97264128,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-12-15,463.42,470.86,460.74,470.6,116899251,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-12-16,472.57,472.87,464.8,466.45,116568626,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-12-17,461.55,464.74,458.06,459.87,135636510,1.636431,1.0,0.05,3,4.108570426319957e-06
2021-12-20,454.48,455.4,451.14,454.98,107134822,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-12-21,458.61,463.21,456.31,463.06,69806260,0.0,1.0,0.07,1,1.917139136997648e-06
2021-12-22,462.79,467.81,462.58,467.69,58890223,0.0,1.0,0.07,1,1.917139136997648e-06
2021-12-23,468.75,472.19,468.64,470.6,56439745,0.0,1.0,0.08,4,8.763656708099532e-06
2021-12-27,472.06,477.31,472.01,477.26,56808619,0.0,1.0,0.07,1,1.917139136997648e-06
2021-12-28,477.72,478.81,476.06,476.87,47274585,0.0,1.0,0.06,1,1.6433440133134525e-06
2021-12-29,476.98,478.56,475.92,477.48,54502964,0.0,1.0,0.06,1,1.6433440133134525e-06
2021-12-30,477.93,479.0,475.67,476.16,55329041,0.0,1.0,0.05,1,1.3695215999032229e-06
2021-12-31,475.64,476.86,474.67,474.96,63617437,0.0,1.0,0.05,3,4.108570426319957e-06
2022-01-03,476.3,477.85,473.85,477.71,72668233,0.0,1.0,0.06,1,1.6433440133134525e-06
2022-01-04,479.22,479.98,475.58,477.55,71178678,0.0,1.0,0.08,1,2.190906976951013e-06
2022-01-05,477.16,477.98,468.2801,468.38,104538940,0.0,1.0,0.08,1,2.190906976951013e-06
2022-01-06,467.89,470.82,465.43,467.94,86858900,0.0,1.0,0.09,1,2.4646475380585287e-06
