permno,hdrcusip,permco,siccd,nasdissuno,yyyymmdd,sharetype,securitytype,securitysubtype,usincflg,issuertype,primaryexch,conditionaltype,tradingstatusflg,dlycaldt,dlydelflg,dlyprc,dlyprcflg,dlycap,dlycapflg,dlyprevprc,dlyprevprcflg,dlyprevdt,dlyprevcap,dlyprevcapflg,dlyret,dlyretx,dlyreti,dlyretmissflg,dlyretdurflg,dlyorddivamt,dlynonorddivamt,dlyfacprc,dlydistretflg,dlyvol,dlyclose,dlylow,dlyhigh,dlybid,dlyask,dlyopen,dlynumtrd,dlymmcnt,dlyprcvol,dlycumfacpr,dlycumfacshr,cusip,ticker,exchangetier,shrout
84398,78462F10,46699,6726,0,20090715,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-15,N,93.26,TR,64977972.4,BP,90.61,TR,2009-07-14,63131611.4,PB,0.029246,0.029246,0.0,NA,D1,0.0,0.0,1.0,NO,220877800.0,93.26,90.6795,93.51,93.29,93.3,91.81,,,20599063628.0,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090716,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-16,N,94.15,TR,65598071.0,BP,93.26,TR,2009-07-15,64977972.4,PB,0.009543,0.009543,0.0,NA,D1,0.0,0.0,1.0,NO,231174500.0,94.15,92.82,94.51,94.15,94.16,93.0,,,21765079175.0,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090717,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-17,N,94.13,TR,65584136.2,BP,94.15,TR,2009-07-16,65598071.0,PB,-0.000212,-0.000212,0.0,NA,D1,0.0,0.0,1.0,NO,138561700.0,94.13,93.54,94.32,94.15,94.15,94.06,,,13042812821.0,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090720,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-20,N,95.131,TR,66281572.94,BP,94.13,TR,2009-07-17,65584136.2,PB,0.010634,0.010634,0.0,NA,D3,0.0,0.0,1.0,NO,164179400.0,95.131,94.19,95.29,95.12,95.07,94.68,,,15618550501.4,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090721,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-21,N,95.57,TR,66587441.8,BP,95.131,TR,2009-07-20,66281572.94,PB,0.004615,0.004615,0.0,NA,D1,0.0,0.0,1.0,NO,217718200.0,95.57,94.42,95.9,95.59,95.58,95.87,,,20807328374.0,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090722,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-22,N,95.55,TR,66573507.0,BP,95.57,TR,2009-07-21,66587441.8,PB,-0.000209,-0.000209,0.0,NA,D1,0.0,0.0,1.0,NO,196067600.0,95.55,94.89,96.13,95.55,95.54,94.96,,,18734259180.0,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090723,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-23,N,97.661,TR,68044325.14,BP,95.55,TR,2009-07-22,66573507.0,PB,0.022093,0.022093,0.0,NA,D1,0.0,0.0,1.0,NO,258795500.0,97.661,95.53,98.08,97.66,97.67,95.61,,,25274227325.5,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090724,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-24,N,98.06,TR,68322324.4,BP,97.661,TR,2009-07-23,68044325.14,PB,0.004086,0.004086,0.0,NA,D1,0.0,0.0,1.0,NO,154003000.0,98.06,96.69,98.14,98.07,98.06,97.2,,,15101534180.0,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090727,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-27,N,98.35,TR,68524379.0,BP,98.06,TR,2009-07-24,68322324.4,PB,0.002957,0.002957,0.0,NA,D3,0.0,0.0,1.0,NO,159259400.0,98.35,97.34,98.4,98.36,98.37,97.88,,,15663161990.0,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090728,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-28,N,97.89,TR,68203878.6,BP,98.35,TR,2009-07-27,68524379.0,PB,-0.004677,-0.004677,0.0,NA,D1,0.0,0.0,1.0,NO,186685700.0,97.89,97.06,98.37,98.08,98.09,97.66,,,18274663173.0,1.0,1.0,78462F10,SPY,N/A,696740
